rank,name,frequency
324,Camila,101919
325,Brandi,101799
326,Aaliyah,101671
327,Kara,100946
328,Katrina,100896
329,Marian,99951
330,Bethany,99673
331,Arianna,99593
332,Toni,99576
333,Penny,99104
334,Sierra,99059
335,Christy,98403
336,Angel,98333
337,Sophie,98249
338,Jessie,97602
339,Kendra,97304
340,Whitney,96924
341,Natasha,96887
342,Terry,96290
343,Meghan,96040
344,Briana,95445
345,Dianne,95138
346,Kay,94814
347,Jade,94730
348,Alma,94292
349,Billie,93811
350,Scarlett,93708
351,Miriam,93425
352,Adriana,93399
353,Gianna,92309
354,Cora,92278
355,Cecilia,92253
356,Nevaeh,91914
357,Elena,91673
358,Angelica,91552
359,Penelope,90820
360,Hope,90422
361,Karla,90413
362,Jackie,89756
363,Jenny,89382
364,Bridget,89279
365,Felicia,89238
366,Elsie,88896
367,Margie,88677
368,Vera,87846
369,Isabelle,87008
370,Tracey,86473
371,Becky,86387
372,Bertha,86386
373,Summer,85244
374,Bobbie,85057
375,Ellie,84788
376,Kennedy,84718
377,Lillie,84569
378,Misty,84555
379,Candace,84543
380,Jacquelyn,84340
381,Shelly,84336
382,Kristine,84131
383,Iris,83923
384,Maxine,83840
385,Willie,83685
386,Sherri,83635
387,Gabriela,82970
388,Desiree,82957
389,Trinity,82867
390,Peyton,82835
391,Jillian,82588
392,Genesis,82466
393,Brittney,82083
394,Breanna,82055
395,Ida,81895
396,Skylar,80794
397,Maggie,80615
398,Rachael,80481
399,Jodi,79577
400,Sheryl,78766
401,Monique,78616
402,Genevieve,78000
403,Lynda,77610
404,Natalia,77425
405,Casey,77381
406,Aria,77356
407,Lena,77335
408,Kristi,76450
409,Aurora,75997
410,Bianca,75475
411,Ariel,75343
412,Meredith,75084
413,Krystal,74881
414,Kelli,74835
415,Rebekah,74549
416,Krista,73600
417,Bella,73021
418,Shelley,72480
419,Belinda,72431
420,Kate,72325
421,Gracie,72086
422,Valeria,71536
423,Kristy,70444
424,Serenity,70211
425,Cheyenne,69754
426,Camille,69209
427,Sandy,68844
428,Mila,67988
429,Candice,67908
430,Elise,67792
431,Jada,66744
432,Adrienne,66589
433,Rosalie,66513
434,Agnes,66083
435,Liliana,65974
436,Ramona,65680
437,Mattie,65570
438,Carly,65537
439,Sonia,65260
440,Luna,65181
441,Sonya,65161
442,Daniela,65120
443,Lola,64782
444,Nichole,63626
445,Kendall,63608
446,Jennie,63386
447,Ivy,63376
448,Antoinette,63371
449,Marianne,63148
450,Juliana,63137
451,Guadalupe,62900
452,Mckenzie,62888
453,Robyn,62849
454,Yvette,62514
455,Alana,62463
456,Rylee,62267
457,Nellie,62230
458,Dora,62010
459,Patty,61693
460,Lynne,61666
461,Reagan,61437
462,Bessie,61434
463,Leona,61268
464,Pearl,61097
465,Janie,61067
466,Angie,60606
467,Maryann,60595
468,Sheri,60446
469,Karina,60346
470,Abby,60189
471,Gayle,60129
472,Mya,59788
473,Rosie,59775
474,Geneva,59725
475,Kari,59378
476,Jordyn,59174
477,Cassidy,59001
478,Lila,58994
479,Roxanne,58959
480,Celeste,58811
481,Tabitha,58432
482,Annabelle,58199
483,Payton,57484
484,Kaitlin,57258
485,Viola,57227
486,Faye,57066
487,Piper,56765
488,Mallory,56726
489,Gertrude,56623
490,Lilly,56465
491,Alisha,56399
492,Minnie,56212
493,Eliana,56021
494,Dianna,56017
495,Josie,55871
496,Jody,55779
497,Janelle,55603
498,Mikayla,55476
499,Selena,55190
500,Callie,55158
501,Harriet,54928
502,Lana,54721
503,Mae,54524
504,Paisley,54449
505,Jan,54350
506,Jeannette,54177
507,Lee,54019
508,Myra,53999
509,Ada,53786
510,Aimee,53416
511,Vicky,53354
512,Kiara,53097
513,Kirsten,53027
514,Emilia,53011
515,Allyson,52984
516,Delilah,52927
517,Tessa,52819
518,Lacey,52595
519,Michaela,52439
520,Caitlyn,52337
521,Alejandra,52304
522,Adeline,52223
523,Cara,52210
524,Traci,52157
525,Irma,52137
526,Cristina,51734
527,Velma,51585
528,Susie,51276
529,Eliza,51111
530,Valentina,50885
531,Hayley,50717
532,Kellie,50693
533,Dominique,50596
534,Gretchen,50545
535,Willow,50538
536,Bernadette,50207
537,Jaime,49956
