rank,name,frequency
934,Richmond,37053
935,Moyer,37050
936,Lim,37021
937,Frye,36973
938,Sheppard,36960
939,McCarty,36944
940,Avalos,36922
941,Booker,36840
942,Waller,36805
943,Parra,36765
944,Woodward,36764
945,Jaramillo,36755
946,Krueger,36743
947,Rasmussen,36636
948,Brandt,36613
949,Peralta,36585
950,Donaldson,36558
951,Stuart,36540
952,Faulkner,36466
953,Maynard,36460
954,Galindo,36429
955,Coffey,36423
956,Estes,36318
957,Sanford,36312
958,Burch,36269
959,Maddox,36250
960,Vo,36236
961,O'Connell,36194
962,Vu,36179
963,Andersen,36150
964,Spence,36129
965,McPherson,36125
966,Church,36072
967,Schmitt,36043
968,Stanton,35997
969,Leal,35958
970,Cherry,35877
971,Compton,35830
972,Dudley,35781
973,Sierra,35770
974,Pollard,35749
975,Alfaro,35725
976,Hester,35642
977,Proctor,35636
978,Lu,35628
979,Hinton,35606
980,Novak,35461
981,Good,35446
982,Madden,35438
983,McCann,35408
983,Terrell,35408
985,Jarvis,35350
986,Dickson,35312
987,Reyna,35291
988,Cantrell,35266
989,Mayo,35228
990,Branch,35225
991,Hendrix,35194
992,Rollins,35132
993,Rowland,35121
994,Whitney,35118
995,Duke,35053
996,Odom,35020
997,Daugherty,34987
998,Travis,34985
999,Tang,34961
1000,Archer,34949
